measnum,projsym,varname,strain,sex,value,animal_id,animal_projid,stocknum,strainid,zscore
47029,Chesler4,bw,129S1/SvImJ,f,19.3,336,470,002448,3,-0.90
47029,Chesler4,bw,129S1/SvImJ,f,22.2,337,470,002448,3,1.03
47029,Chesler4,bw,129S1/SvImJ,f,21.6,338,470,002448,3,0.63
47029,Chesler4,bw,129S1/SvImJ,f,20.3,331,470,002448,3,-0.23
47029,Chesler4,bw,129S1/SvImJ,f,18.6,332,470,002448,3,-1.37
47029,Chesler4,bw,129S1/SvImJ,f,22.8,333,470,002448,3,1.43
47029,Chesler4,bw,129S1/SvImJ,f,19.4,334,470,002448,3,-0.83
47029,Chesler4,bw,129S1/SvImJ,f,21.0,335,470,002448,3,0.23
47029,Chesler4,bw,129S1/SvImJ,m,29.3,346,470,002448,3,-0.05
47029,Chesler4,bw,129S1/SvImJ,m,31.3,347,470,002448,3,0.66
47029,Chesler4,bw,129S1/SvImJ,m,32.7,343,470,002448,3,1.17
47029,Chesler4,bw,129S1/SvImJ,m,26.6,342,470,002448,3,-1.02
47029,Chesler4,bw,129S1/SvImJ,m,26.3,341,470,002448,3,-1.13
47029,Chesler4,bw,129S1/SvImJ,m,32.7,344,470,002448,3,1.17
47029,Chesler4,bw,129S1/SvImJ,m,26.2,348,470,002448,3,-1.17
47029,Chesler4,bw,129S1/SvImJ,m,30.5,345,470,002448,3,0.38
47029,Chesler4,bw,A/J,f,24.4,376,470,000646,4,-0.05
47029,Chesler4,bw,A/J,f,26.2,374,470,000646,4,0.83
47029,Chesler4,bw,A/J,f,26.8,371,470,000646,4,1.12
47029,Chesler4,bw,A/J,f,22.3,372,470,000646,4,-1.08
47029,Chesler4,bw,A/J,f,25.3,373,470,000646,4,0.39
47029,Chesler4,bw,A/J,f,23.8,378,470,000646,4,-0.34
47029,Chesler4,bw,A/J,f,26.2,375,470,000646,4,0.83
47029,Chesler4,bw,A/J,f,21.0,377,470,000646,4,-1.71
47029,Chesler4,bw,A/J,m,28.0,387,470,000646,4,-0.46
47029,Chesler4,bw,A/J,m,31.9,385,470,000646,4,1.10
47029,Chesler4,bw,A/J,m,28.2,384,470,000646,4,-0.38
47029,Chesler4,bw,A/J,m,26.9,383,470,000646,4,-0.90
47029,Chesler4,bw,A/J,m,29.1,382,470,000646,4,-0.02
47029,Chesler4,bw,A/J,m,33.6,381,470,000646,4,1.77
47029,Chesler4,bw,A/J,m,29.4,388,470,000646,4,0.10
47029,Chesler4,bw,A/J,m,26.1,386,470,000646,4,-1.22
47029,Chesler4,bw,C57BL/6J,f,23.5,311,470,000664,7,-0.29
47029,Chesler4,bw,C57BL/6J,f,26.8,316,470,000664,7,1.69
47029,Chesler4,bw,C57BL/6J,f,23.4,317,470,000664,7,-0.35
47029,Chesler4,bw,C57BL/6J,f,22.5,313,470,000664,7,-0.89
47029,Chesler4,bw,C57BL/6J,f,22.0,318,470,000664,7,-1.19
47029,Chesler4,bw,C57BL/6J,f,23.5,314,470,000664,7,-0.29
47029,Chesler4,bw,C57BL/6J,f,26.1,312,470,000664,7,1.27
47029,Chesler4,bw,C57BL/6J,f,24.1,315,470,000664,7,0.07
47029,Chesler4,bw,C57BL/6J,m,25.1,327,470,000664,7,-2.11
47029,Chesler4,bw,C57BL/6J,m,29.7,326,470,000664,7,0.39
47029,Chesler4,bw,C57BL/6J,m,28.9,321,470,000664,7,-0.04
47029,Chesler4,bw,C57BL/6J,m,27.9,325,470,000664,7,-0.58
47029,Chesler4,bw,C57BL/6J,m,29.8,324,470,000664,7,0.45
47029,Chesler4,bw,C57BL/6J,m,28.9,323,470,000664,7,-0.04
47029,Chesler4,bw,C57BL/6J,m,30.7,322,470,000664,7,0.94
47029,Chesler4,bw,C57BL/6J,m,30.8,328,470,000664,7,0.99
47029,Chesler4,bw,CAST/EiJ,f,17.3,643,470,000928,2,1.06
47029,Chesler4,bw,CAST/EiJ,f,12.0,638,470,000928,2,-1.06
47029,Chesler4,bw,CAST/EiJ,f,12.6,639,470,000928,2,-0.82
47029,Chesler4,bw,CAST/EiJ,f,16.7,640,470,000928,2,0.82
47029,Chesler4,bw,CAST/EiJ,f,17.1,641,470,000928,2,0.98
47029,Chesler4,bw,CAST/EiJ,f,16.8,642,470,000928,2,0.86
47029,Chesler4,bw,CAST/EiJ,f,12.8,636,470,000928,2,-0.74
47029,Chesler4,bw,CAST/EiJ,f,11.9,637,470,000928,2,-1.10
47029,Chesler4,bw,CAST/EiJ,m,14.4,394,470,000928,2,-0.96
47029,Chesler4,bw,CAST/EiJ,m,15.5,395,470,000928,2,-0.29
47029,Chesler4,bw,CAST/EiJ,m,16.8,396,470,000928,2,0.50
47029,Chesler4,bw,CAST/EiJ,m,16.2,397,470,000928,2,0.14
47029,Chesler4,bw,CAST/EiJ,m,16.1,398,470,000928,2,0.08
47029,Chesler4,bw,CAST/EiJ,m,18.2,391,470,000928,2,1.35
47029,Chesler4,bw,CAST/EiJ,m,17.5,392,470,000928,2,0.93
47029,Chesler4,bw,CAST/EiJ,m,13.1,393,470,000928,2,-1.75
47029,Chesler4,bw,J:DO,f,21.4,106:70f,470,009376,70,-0.46
47029,Chesler4,bw,J:DO,f,20.1,127:70f,470,009376,70,-0.82
47029,Chesler4,bw,J:DO,f,33.6,101:70f,470,009376,70,2.93
47029,Chesler4,bw,J:DO,f,24.4,107:70f,470,009376,70,0.37
47029,Chesler4,bw,J:DO,f,24.3,154,470,009376,70,0.35
47029,Chesler4,bw,J:DO,f,23.7,155,470,009376,70,0.18
47029,Chesler4,bw,J:DO,f,24.7,156,470,009376,70,0.46
47029,Chesler4,bw,J:DO,f,24.7,157,470,009376,70,0.46
47029,Chesler4,bw,J:DO,f,24.6,102:70f,470,009376,70,0.43
47029,Chesler4,bw,J:DO,f,27.2,158,470,009376,70,1.15
47029,Chesler4,bw,J:DO,f,29.8,159,470,009376,70,1.87
47029,Chesler4,bw,J:DO,f,23.1,235,470,009376,70,0.01
47029,Chesler4,bw,J:DO,f,22.6,236,470,009376,70,-0.13
47029,Chesler4,bw,J:DO,f,21.1,237,470,009376,70,-0.54
47029,Chesler4,bw,J:DO,f,24.4,160,470,009376,70,0.37
47029,Chesler4,bw,J:DO,f,16.6,238,470,009376,70,-1.79
47029,Chesler4,bw,J:DO,f,22.6,239,470,009376,70,-0.13
47029,Chesler4,bw,J:DO,f,21.9,240,470,009376,70,-0.32
47029,Chesler4,bw,J:DO,f,21.4,241,470,009376,70,-0.46
47029,Chesler4,bw,J:DO,f,21.4,242,470,009376,70,-0.46
47029,Chesler4,bw,J:DO,f,29.2,161,470,009376,70,1.71
47029,Chesler4,bw,J:DO,f,28.7,162,470,009376,70,1.57
47029,Chesler4,bw,J:DO,f,21.4,163,470,009376,70,-0.46
47029,Chesler4,bw,J:DO,f,21.8,164,470,009376,70,-0.35
47029,Chesler4,bw,J:DO,f,25.4,165,470,009376,70,0.65
47029,Chesler4,bw,J:DO,f,21.7,166,470,009376,70,-0.37
47029,Chesler4,bw,J:DO,f,16.7,167,470,009376,70,-1.76
47029,Chesler4,bw,J:DO,f,21.0,103:70f,470,009376,70,-0.57
47029,Chesler4,bw,J:DO,f,25.1,100:70f,470,009376,70,0.57
47029,Chesler4,bw,J:DO,f,23.6,251,470,009376,70,0.15
47029,Chesler4,bw,J:DO,f,21.1,252,470,009376,70,-0.54
47029,Chesler4,bw,J:DO,f,19.2,253,470,009376,70,-1.07
47029,Chesler4,bw,J:DO,f,19.7,254,470,009376,70,-0.93
47029,Chesler4,bw,J:DO,f,19.6,255,470,009376,70,-0.96
47029,Chesler4,bw,J:DO,f,26.2,256,470,009376,70,0.87
47029,Chesler4,bw,J:DO,f,20.2,257,470,009376,70,-0.79
47029,Chesler4,bw,J:DO,f,21.8,168,470,009376,70,-0.35
47029,Chesler4,bw,J:DO,f,21.9,258,470,009376,70,-0.32
47029,Chesler4,bw,J:DO,f,26.8,169,470,009376,70,1.04
47029,Chesler4,bw,J:DO,f,24.9,170,470,009376,70,0.51
47029,Chesler4,bw,J:DO,f,20.9,104:70f,470,009376,70,-0.60
47029,Chesler4,bw,J:DO,f,21.2,173,470,009376,70,-0.51
47029,Chesler4,bw,J:DO,f,22.4,174,470,009376,70,-0.18
47029,Chesler4,bw,J:DO,f,21.5,175,470,009376,70,-0.43
47029,Chesler4,bw,J:DO,f,25.8,176,470,009376,70,0.76
47029,Chesler4,bw,J:DO,f,21.9,177,470,009376,70,-0.32
47029,Chesler4,bw,J:DO,f,20.2,105:70f,470,009376,70,-0.79
47029,Chesler4,bw,J:DO,f,20.4,178,470,009376,70,-0.74
47029,Chesler4,bw,J:DO,f,22.3,179,470,009376,70,-0.21
47029,Chesler4,bw,J:DO,f,18.0,180,470,009376,70,-1.40
47029,Chesler4,bw,J:DO,f,22.9,181,470,009376,70,-0.04
47029,Chesler4,bw,J:DO,f,22.4,182,470,009376,70,-0.18
47029,Chesler4,bw,J:DO,f,23.4,183,470,009376,70,0.10
47029,Chesler4,bw,J:DO,f,19.4,184,470,009376,70,-1.01
47029,Chesler4,bw,J:DO,f,31.0,185,470,009376,70,2.21
47029,Chesler4,bw,J:DO,f,27.3,276,470,009376,70,1.18
47029,Chesler4,bw,J:DO,f,28.9,277,470,009376,70,1.62
47029,Chesler4,bw,J:DO,f,28.2,186,470,009376,70,1.43
47029,Chesler4,bw,J:DO,f,24.3,278,470,009376,70,0.35
47029,Chesler4,bw,J:DO,f,24.4,279,470,009376,70,0.37
47029,Chesler4,bw,J:DO,f,17.0,280,470,009376,70,-1.68
47029,Chesler4,bw,J:DO,f,21.2,281,470,009376,70,-0.51
47029,Chesler4,bw,J:DO,f,20.7,282,470,009376,70,-0.65
47029,Chesler4,bw,J:DO,f,28.9,283,470,009376,70,1.62
47029,Chesler4,bw,J:DO,f,24.3,284,470,009376,70,0.35
47029,Chesler4,bw,J:DO,f,29.7,285,470,009376,70,1.85
47029,Chesler4,bw,J:DO,f,25.1,286,470,009376,70,0.57
47029,Chesler4,bw,J:DO,f,23.0,287,470,009376,70,-0.01
47029,Chesler4,bw,J:DO,f,30.8,187,470,009376,70,2.15
47029,Chesler4,bw,J:DO,f,26.0,288,470,009376,70,0.82
47029,Chesler4,bw,J:DO,f,21.2,289,470,009376,70,-0.51
47029,Chesler4,bw,J:DO,f,20.2,290,470,009376,70,-0.79
47029,Chesler4,bw,J:DO,f,25.5,291,470,009376,70,0.68
47029,Chesler4,bw,J:DO,f,23.9,292,470,009376,70,0.24
47029,Chesler4,bw,J:DO,f,26.1,293,470,009376,70,0.85
47029,Chesler4,bw,J:DO,f,25.5,294,470,009376,70,0.68
47029,Chesler4,bw,J:DO,f,33.7,295,470,009376,70,2.96
47029,Chesler4,bw,J:DO,f,26.3,296,470,009376,70,0.90
47029,Chesler4,bw,J:DO,f,26.2,297,470,009376,70,0.87
47029,Chesler4,bw,J:DO,f,22.5,298,470,009376,70,-0.15
47029,Chesler4,bw,J:DO,f,23.5,275,470,009376,70,0.12
47029,Chesler4,bw,J:DO,f,28.2,118:70f,470,009376,70,1.43
47029,Chesler4,bw,J:DO,f,17.9,188,470,009376,70,-1.43
47029,Chesler4,bw,J:DO,f,22.5,189,470,009376,70,-0.15
